countdowns,strikes,weighted_avg_price,total_open_interest
109,43000.0,70000.0,1.5
109,44000.0,70000.0,6.0
109,45000.0,70000.0,10.0
109,46000.0,70000.0,19.5
109,47000.0,70000.0,19.08
109,48000.0,70000.0,14.5
109,49000.0,70000.0,12.99
109,50000.0,70000.0,13.17
109,51000.0,70000.0,12.99
109,52000.0,70000.0,11.06
109,53000.0,70000.0,5.33
109,54000.0,70000.0,6.8
109,55000.0,70000.0,7.54
109,56000.0,70000.0,6.48
109,57000.0,70000.0,4.67
109,58000.0,70000.0,6.0
109,59000.0,70000.0,4.5
109,60000.0,70000.0,9.5
109,65000.0,70000.0,7.13
109,70000.0,70000.0,2.53
109,75000.0,70000.0,3.98
109,80000.0,70000.0,5.19
109,85000.0,70000.0,1.28
109,90000.0,70000.0,2.17
109,95000.0,70000.0,10.02
109,100000.0,70000.0,2.05
109,105000.0,70000.0,4.22
109,110000.0,70000.0,1.83
109,115000.0,70000.0,4.5
109,120000.0,70000.0,3.93
109,125000.0,70000.0,1.14
109,130000.0,70000.0,1.14
109,140000.0,70000.0,0.83
109,160000.0,70000.0,76.01
200,35000.0,70000.0,0.01
200,38000.0,70000.0,0.07
200,41000.0,70000.0,1.38
200,43000.0,70000.0,0.02
200,44000.0,70000.0,0.05
200,48000.0,70000.0,0.01
200,49000.0,70000.0,0.1
200,50000.0,70000.0,0.01
200,52000.0,70000.0,0.45
200,53000.0,70000.0,0.07
200,55000.0,70000.0,0.03
200,56000.0,70000.0,0.01
200,58000.0,70000.0,0.01
200,59000.0,70000.0,0.05
200,60000.0,70000.0,1.08
200,61000.0,70000.0,0.02
200,62000.0,70000.0,0.05
200,63000.0,70000.0,0.02
200,65000.0,70000.0,1.01
200,70000.0,70000.0,0.18
200,75000.0,70000.0,0.08
200,80000.0,70000.0,0.03
200,85000.0,70000.0,0.02
200,90000.0,70000.0,1.5
200,95000.0,70000.0,0.04
200,100000.0,70000.0,0.34
200,105000.0,70000.0,0.53
200,110000.0,70000.0,0.18
200,115000.0,70000.0,0.39
200,120000.0,70000.0,0.21
200,125000.0,70000.0,0.13
200,130000.0,70000.0,0.02
200,135000.0,70000.0,0.48
200,140000.0,70000.0,1.59
200,160000.0,70000.0,8.43
291,65000.0,70000.0,5.0
291,70000.0,70000.0,5.03
291,90000.0,70000.0,6.92
291,110000.0,70000.0,0.02
291,160000.0,70000.0,0.04
291,200000.0,70000.0,0.04
291,220000.0,70000.0,0.01
